Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
69149,24,1,11,2,6334,2,0,0,0,1,55,1,0,2,2,2,28,0,0,1,2,2,1
61864,42,1,1,4,8874,2,2,0,1,0,31,0,0,2,0,2,27,0,0,0,3,3,1
29641,53,1,44,2,7364,3,2,0,1,0,92,0,1,0,1,2,55,0,1,0,2,0,0
65586,39,1,22,1,5556,2,0,0,0,0,16,0,1,0,0,1,28,0,0,0,0,1,0
15737,37,1,2,4,9293,2,0,1,0,0,55,1,1,0,1,2,54,0,0,1,1,1,1
51448,37,1,6,1,7701,1,0,1,0,1,32,2,1,1,0,1,71,0,1,1,2,1,1
12259,31,1,18,3,5105,3,1,0,2,0,82,1,2,2,2,2,46,0,0,1,0,3,0
8881,37,1,9,2,8632,1,0,0,2,0,8,3,0,2,2,1,86,1,0,0,3,0,1
17543,45,0,27,3,5315,2,0,0,2,1,74,0,1,4,0,2,70,0,0,1,3,1,1
74472,57,0,23,3,5938,0,3,0,2,1,3,3,0,3,1,1,47,0,0,0,2,2,1
64075,42,0,2,3,6213,1,0,0,0,0,5,1,2,4,0,2,69,0,0,0,2,2,0
54804,31,0,17,3,5956,1,1,0,0,0,76,1,0,4,0,2,27,0,0,0,2,1,0
24350,56,0,22,3,6605,0,0,1,2,1,47,1,1,2,1,1,74,0,0,0,2,1,1
72189,34,1,12,1,8274,2,3,1,0,1,67,1,2,1,0,1,36,0,0,0,3,1,0
36437,56,1,7,4,9878,2,3,0,2,0,58,3,2,1,0,2,22,0,0,0,2,1,0
34857,47,0,36,4,8442,1,1,2,1,0,84,0,2,0,0,1,67,1,0,0,3,1,0
26304,25,0,2,2,6690,1,1,2,0,1,14,0,1,2,0,1,25,1,0,0,2,2,1
33177,25,0,3,2,8397,0,0,1,0,1,36,1,1,3,0,2,49,1,0,0,3,1,1
70003,36,1,8,4,9775,1,0,0,1,1,79,1,2,1,1,1,61,0,0,1,2,0,0
63046,41,1,28,3,5586,2,0,0,0,0,52,0,1,0,0,2,103,0,0,0,2,2,1
30924,55,0,6,2,9355,1,3,0,0,1,44,1,1,3,2,2,64,0,0,1,3,0,0
5254,48,0,18,4,7976,1,0,2,0,1,32,2,2,2,1,2,71,0,0,0,2,2,0
33430,21,1,11,3,6356,3,0,0,0,0,89,0,1,0,2,1,12,0,0,0,2,0,1
67450,34,1,21,3,5967,1,1,0,1,0,39,1,1,0,1,2,39,1,0,0,2,2,1
66579,28,0,12,4,10111,1,2,0,2,0,37,2,1,3,1,2,33,0,0,0,2,1,1
54104,26,1,3,1,8673,0,0,0,0,0,64,0,2,1,0,0,57,0,0,1,2,2,0
18361,47,1,22,0,5040,1,3,3,3,1,7,2,1,0,1,1,58,1,0,0,2,1,1
4098,30,0,22,4,9894,3,1,0,1,0,87,0,2,2,0,2,65,1,0,0,0,2,0
27742,24,1,13,4,6785,2,0,0,0,0,24,1,2,3,2,2,57,0,0,1,1,0,0
1591,23,0,2,1,7368,1,3,1,0,0,15,3,1,3,2,2,17,0,0,1,2,0,1
27451,52,1,34,3,5154,1,2,0,0,1,16,2,2,2,1,2,83,0,0,0,1,2,0
58305,51,1,16,2,8407,2,3,0,1,0,63,1,2,1,0,2,66,0,0,0,2,1,0
19684,50,1,21,0,4195,2,3,0,2,1,76,1,1,2,0,2,100,1,0,0,2,3,1
9392,45,1,6,0,4451,1,0,0,0,0,81,2,1,2,0,0,65,0,0,0,1,2,1
18598,31,0,11,4,10122,1,0,0,2,0,58,1,1,0,2,2,62,1,0,0,3,1,1
70231,50,1,35,1,7303,2,0,1,1,1,48,2,1,1,0,1,84,1,0,1,3,0,1
65665,29,1,8,1,7946,3,3,0,0,0,75,0,2,1,1,1,17,0,1,0,3,0,0
64242,27,1,14,1,6026,3,0,1,0,1,30,1,2,2,1,0,20,0,0,0,2,0,0
23287,48,1,1,4,10135,3,0,3,0,1,13,1,2,3,0,2,72,0,0,0,2,2,0
12556,47,1,24,2,8631,1,3,2,0,0,35,1,1,3,2,1,89,0,0,0,3,1,1
68364,41,0,11,0,4431,3,3,2,0,0,8,0,1,2,2,1,80,0,0,0,0,1,0
31457,53,0,2,0,3598,2,0,0,0,1,98,0,2,1,0,0,69,0,0,1,1,2,0
14169,37,0,2,2,7949,0,2,0,0,0,95,2,1,5,0,0,6,1,0,0,0,1,1
43193,21,0,10,2,7967,1,0,0,0,0,44,3,2,1,2,0,64,0,0,0,1,0,1
67257,53,0,23,2,8876,1,1,0,2,1,68,2,1,3,0,1,78,0,0,1,2,0,0
52985,45,0,28,3,6628,2,0,0,0,1,56,1,1,3,2,1,30,0,0,0,1,1,0
31826,49,1,9,2,8340,2,0,2,1,0,73,1,2,0,0,0,77,0,0,0,1,1,0
64500,37,1,22,1,10080,3,0,0,0,0,21,1,1,1,1,1,69,0,0,0,2,2,0
24841,39,1,9,1,8860,2,2,1,0,1,26,1,1,1,1,1,61,0,0,0,1,2,0
62882,27,1,17,3,5678,1,0,0,2,0,41,1,1,2,1,1,54,0,0,0,2,1,1
7424,58,1,14,4,8683,3,0,0,2,0,34,1,0,0,2,0,87,1,1,1,2,1,1
9870,49,0,2,0,4042,2,0,1,0,0,29,0,0,2,0,1,58,0,0,0,2,0,0
6688,54,1,24,4,9737,3,2,1,0,0,8,1,1,0,0,1,88,1,0,0,1,1,1
3625,38,1,18,0,5246,2,0,2,0,1,84,3,0,2,1,1,20,0,0,0,2,1,0
66157,19,0,1,1,10141,2,0,0,1,0,19,1,2,1,0,0,41,0,0,1,1,2,0
46550,43,1,34,4,9033,2,0,1,1,0,50,2,1,1,0,1,97,0,0,0,3,2,1
60485,30,1,10,3,5397,0,1,0,1,1,68,1,1,0,0,0,75,0,0,0,3,1,0
26078,31,1,19,2,6135,2,0,2,0,0,41,4,2,0,0,1,88,0,0,0,2,2,1
13319,47,1,28,2,7063,3,3,1,0,0,62,0,1,0,2,1,49,0,0,1,2,2,1
65739,58,0,40,3,6940,2,0,2,0,0,49,1,1,1,2,0,67,1,0,0,3,2,1
43732,40,1,17,0,4733,3,0,1,1,0,69,4,1,4,0,2,60,0,0,0,0,2,1
45545,35,1,17,2,7625,2,0,2,0,0,26,1,1,0,1,0,31,0,0,0,2,0,1
72101,31,0,2,4,6640,1,2,0,0,0,13,0,0,4,2,0,33,0,0,1,2,0,1
46992,31,1,8,4,7287,0,2,2,2,1,33,3,2,0,0,2,69,0,0,1,0,2,1
54577,40,1,5,2,6993,1,2,0,0,1,57,2,2,0,0,0,75,0,0,0,1,1,0
23371,49,0,22,1,12041,0,0,3,0,0,62,4,2,6,1,2,23,0,0,1,2,1,1
41178,33,0,1,1,6534,1,1,0,1,0,21,3,2,4,0,2,12,0,0,0,2,2,0
17004,52,1,15,2,7529,2,2,0,0,0,61,1,1,5,0,0,34,0,0,0,2,3,1
18068,51,1,12,1,4421,2,0,0,1,0,62,3,2,0,0,1,14,1,0,0,2,0,1
19252,27,0,11,4,9197,2,0,2,0,1,53,2,1,2,2,0,35,0,0,0,2,2,1
65212,58,1,6,2,8762,1,0,2,0,1,72,1,1,0,0,2,38,0,0,0,2,2,0
36263,42,0,7,4,8744,2,2,2,1,1,41,2,2,3,0,2,71,1,0,1,2,2,0
23691,26,1,3,2,7406,2,1,3,3,0,91,0,1,0,0,1,57,1,0,0,3,1,0
20242,37,0,7,3,6099,2,0,2,0,0,19,1,1,0,2,2,16,1,0,0,0,1,1
52881,55,1,13,4,9626,2,0,0,2,0,27,1,2,0,2,2,81,0,0,1,2,0,1
32705,46,0,6,4,10298,1,0,0,0,0,47,1,2,0,0,1,84,0,0,0,1,1,0
71450,41,1,2,4,8972,2,3,0,1,0,76,3,0,1,1,0,72,0,0,1,0,1,0
29475,58,0,14,4,9501,1,2,0,1,1,56,1,2,4,0,0,52,0,0,0,3,2,0
34465,40,0,22,0,4023,0,3,3,0,0,58,3,1,4,0,1,55,0,1,0,2,2,0
21012,53,1,41,1,8332,3,0,1,0,0,24,3,2,4,0,1,47,0,0,0,2,0,0
42659,46,0,9,0,4237,1,2,0,0,1,36,1,1,1,2,0,20,0,0,0,3,2,0
47934,45,1,9,0,6437,1,0,2,1,0,53,0,1,4,1,1,31,0,0,0,3,2,0
71441,56,1,32,2,6690,0,2,2,1,0,35,2,1,1,0,2,80,0,0,0,1,1,1
63893,23,1,11,4,7038,2,2,0,0,0,74,0,1,0,0,0,55,0,0,0,1,1,0
29637,55,1,40,2,9177,1,1,1,0,0,65,0,2,0,1,1,106,0,0,0,0,1,0
38110,48,0,19,4,8761,2,0,1,0,0,75,2,1,3,0,1,90,1,0,0,3,3,1
70639,47,1,24,3,5428,0,1,0,0,1,93,0,0,1,0,1,49,0,0,0,2,2,1
8021,26,0,8,2,7859,2,2,0,4,0,44,2,1,5,2,2,35,0,0,0,2,1,1
28368,21,1,4,4,10298,2,0,0,2,0,28,2,2,0,2,1,53,0,0,0,1,1,0
575,44,1,13,2,7430,2,1,0,1,1,23,0,1,3,1,1,73,0,0,0,2,1,1
49959,24,1,2,0,4573,1,0,2,2,1,37,1,1,0,2,2,62,0,0,0,2,2,1
72401,31,1,13,4,9434,2,3,1,0,0,76,1,1,0,1,1,83,1,0,0,1,1,1
24980,45,0,24,1,4583,0,3,2,2,1,55,0,1,1,1,1,62,0,0,0,2,2,0
11385,19,1,3,2,7979,1,2,3,1,1,46,2,1,2,0,1,27,0,0,1,1,2,0
4856,59,0,30,4,10166,0,0,0,1,0,32,0,1,1,0,1,37,0,0,0,2,0,0
14265,50,1,35,3,5316,1,0,0,2,0,21,1,1,0,1,1,80,1,0,0,2,2,1
370,59,1,45,4,10030,2,1,0,2,0,64,2,1,3,1,0,52,0,0,0,3,1,0
25774,54,1,2,2,8736,2,3,0,0,1,86,0,2,1,0,2,5,0,0,0,3,1,0
53105,58,0,39,2,6929,1,0,2,0,0,56,0,1,3,0,0,76,0,1,1,3,0,0
40919,21,1,2,2,10167,1,0,2,0,1,54,0,1,2,1,1,65,0,0,0,1,2,0
63135,51,1,16,2,9063,3,3,0,0,0,9,0,2,1,1,2,90,0,0,1,2,1,0
65852,45,0,20,2,8926,0,0,0,4,0,89,2,2,1,2,2,80,1,0,0,2,2,1
32413,30,0,15,0,3204,2,0,3,0,0,45,1,0,1,2,2,94,0,1,0,0,1,1
71343,29,0,11,1,9306,1,0,0,0,0,51,3,2,2,0,0,45,0,0,0,0,1,0
27498,59,1,43,0,4862,2,1,0,0,0,28,0,1,1,1,2,119,0,0,0,2,0,1
57482,35,0,26,4,7576,0,0,3,4,0,81,2,1,5,1,2,53,0,0,1,2,1,1
38163,40,0,29,1,11735,1,0,0,3,0,87,0,0,3,0,2,56,0,0,0,1,2,1
55188,20,1,2,3,6453,0,2,0,0,0,51,0,1,0,0,2,62,0,0,0,2,0,1
43292,50,1,18,4,7359,2,0,2,1,0,67,0,0,2,0,1,63,0,0,0,2,1,0
72087,44,1,35,2,7838,1,0,0,1,0,19,0,1,4,2,2,53,0,0,0,0,0,1
23689,20,0,3,4,10943,3,0,1,0,0,62,0,2,0,0,1,15,0,0,0,1,2,0
41073,28,1,20,1,10513,2,0,0,0,0,73,1,1,1,1,1,94,0,1,0,3,2,1
24229,28,1,6,2,6669,2,3,2,0,0,39,4,2,3,1,0,41,0,0,0,3,1,0
26101,36,1,17,4,8309,2,0,0,2,1,24,0,2,0,1,0,89,0,0,0,2,1,1
18495,40,1,4,3,6426,1,0,0,0,0,13,1,1,1,0,1,10,0,0,0,0,2,0
70389,56,0,46,2,8423,2,0,2,0,0,96,3,2,3,0,1,118,0,0,0,1,2,0
13011,47,1,1,4,8723,2,3,2,2,0,73,2,1,1,2,2,32,0,0,0,1,1,1
34213,21,1,13,2,9152,3,0,0,0,0,60,1,1,0,0,1,20,1,0,0,2,3,1
1115,18,0,7,4,8546,3,3,2,0,1,94,2,2,1,2,2,64,1,0,0,1,0,0
68988,22,0,13,3,5797,0,3,1,0,0,78,4,1,4,0,2,49,1,0,0,2,2,1
36546,52,1,19,0,3625,1,0,0,1,0,54,2,1,2,1,2,32,0,0,0,2,1,1
12809,44,1,36,1,8048,1,3,0,2,0,72,2,2,3,1,1,57,1,0,0,1,2,0
46298,42,1,26,0,4205,2,0,0,1,0,89,3,2,3,2,1,39,0,0,0,1,0,1
37508,53,1,41,0,4373,1,0,0,2,1,91,3,1,4,1,1,53,0,0,0,3,2,0
51580,22,1,2,1,6925,0,0,0,1,0,79,0,1,2,2,1,73,1,0,0,1,2,1
43465,50,1,38,2,8299,1,1,3,0,0,28,1,2,0,1,0,59,0,0,0,1,0,0
36678,56,0,40,4,11556,2,2,0,2,0,1,4,2,2,1,2,66,0,0,0,0,2,1
41684,42,1,10,3,5820,1,3,2,1,1,86,2,2,2,2,2,82,0,0,1,0,0,0
70584,18,1,6,4,7631,1,1,1,0,0,1,3,2,3,0,1,69,0,0,0,2,1,0
19528,39,1,3,3,5891,2,1,0,2,1,88,2,0,4,1,2,9,0,0,0,2,2,0
69121,22,0,9,1,8376,1,0,1,3,0,46,2,2,1,1,1,11,0,0,0,2,2,0
18487,28,1,3,3,6185,1,0,0,0,0,51,0,1,0,1,1,62,0,0,1,1,1,0
20960,47,0,13,2,6467,2,0,1,2,0,25,1,0,2,0,1,82,0,0,0,3,0,0
4392,56,0,6,1,6954,2,0,0,1,0,65,1,1,2,0,2,17,1,0,0,2,2,0
6112,51,0,33,4,7647,2,1,0,1,1,6,2,1,1,1,2,44,0,0,0,1,1,0
40908,55,0,43,2,7440,3,2,2,0,1,1,2,1,0,0,2,97,1,0,0,2,2,0
53019,56,1,38,2,8883,3,1,0,0,0,69,3,0,3,1,1,100,0,0,0,1,1,0
19879,24,1,8,0,5652,2,0,2,0,0,76,2,1,1,2,2,23,0,0,0,1,2,1
63588,26,1,5,1,7376,1,0,0,0,0,70,1,1,1,2,0,33,0,0,1,3,1,0
58518,52,1,26,4,7306,2,1,0,0,1,19,2,2,3,0,2,35,1,0,0,1,1,1
62060,54,1,42,1,10006,2,0,1,0,0,75,3,1,1,2,2,93,0,0,0,2,2,1
1127,45,1,6,4,11421,3,0,0,1,0,18,1,0,4,1,2,27,1,0,1,2,1,1
59154,20,1,9,2,8161,2,1,0,0,0,86,1,2,2,1,1,35,0,0,0,2,2,0
37737,51,1,10,0,3755,2,0,0,0,0,61,2,0,0,0,1,26,0,0,0,2,2,0
8386,51,1,22,3,5405,0,2,0,1,0,57,3,1,3,0,2,27,0,0,0,1,2,1
45849,59,1,32,0,4113,0,0,2,0,1,48,3,2,3,0,1,82,0,0,0,2,1,0
61853,47,1,38,3,6008,1,3,0,0,0,12,2,1,0,1,2,49,1,0,0,2,2,1
37320,58,1,2,3,6363,1,0,0,2,0,19,2,1,2,1,0,27,0,0,0,3,2,1
29497,40,0,27,3,5980,2,2,2,0,0,35,4,2,2,1,2,52,0,0,0,2,0,1
3777,45,0,10,3,5475,2,0,0,0,0,99,2,1,0,1,1,26,0,0,0,2,2,1
62193,38,0,7,3,6160,2,0,0,2,0,53,1,1,4,0,1,24,0,0,0,2,0,1
50742,29,1,9,3,6336,1,0,1,1,0,95,1,1,3,0,1,79,0,0,1,3,1,0
65915,41,0,29,3,6243,1,0,0,0,0,78,1,1,4,0,1,55,0,0,1,3,0,0
51389,38,1,14,3,5733,0,3,0,1,0,12,1,1,2,1,1,62,0,0,0,3,0,1
48390,51,0,16,4,8988,2,0,1,1,1,94,2,1,1,0,2,36,0,0,0,2,0,1
27698,38,0,22,3,5744,2,3,2,1,0,95,0,1,3,0,1,62,0,0,0,3,1,0
35432,46,0,14,1,6555,0,0,0,0,0,4,3,2,0,1,2,92,1,0,0,2,1,1
59888,53,1,23,4,7633,2,3,0,0,0,44,1,0,2,1,1,91,0,0,0,1,3,0
32936,41,1,26,0,4724,2,3,0,1,0,7,1,2,2,2,1,80,0,0,0,3,1,1
46731,28,1,4,4,9892,2,2,2,2,0,9,0,2,4,0,1,20,0,0,0,2,3,0
5437,34,1,6,4,10220,2,1,1,1,1,97,0,2,1,0,2,41,1,0,0,2,3,0
38452,33,1,12,0,2386,3,2,0,1,1,73,1,1,0,1,1,64,0,0,0,2,0,0
1744,38,1,25,1,10903,2,0,2,2,1,29,0,2,0,2,1,63,0,0,0,1,1,1
13298,52,1,19,3,6139,1,3,0,2,0,68,3,0,0,0,2,92,0,0,0,3,1,0
62811,19,1,11,0,4410,1,0,2,2,1,42,1,2,1,0,1,25,0,0,0,2,2,0
21924,46,1,17,4,6977,0,0,0,0,0,8,0,1,0,1,1,74,0,0,0,1,3,1
21668,27,0,12,1,9249,1,1,0,0,1,32,1,2,0,0,0,22,0,0,0,3,3,0
2631,59,1,40,2,8328,2,3,2,0,0,46,0,2,0,0,2,44,0,0,1,3,1,0
26369,58,0,44,2,8331,1,2,2,2,0,38,0,0,1,1,2,117,0,0,0,2,3,0
9740,50,1,42,4,7639,3,1,2,0,0,91,2,1,0,0,1,49,0,0,0,2,0,0
63053,48,0,31,4,11164,2,2,0,3,0,72,2,2,1,1,1,74,0,0,0,3,1,0
10997,57,1,18,4,8580,1,2,1,1,0,84,1,2,3,0,1,60,1,0,0,1,2,1
48313,50,1,30,2,8113,1,0,2,0,0,19,2,2,0,2,1,78,0,0,0,2,1,1
32586,22,1,5,2,9117,2,0,1,0,0,7,1,2,4,1,2,34,0,0,0,0,2,1
48664,28,1,6,4,8571,3,2,1,0,0,35,0,1,2,0,2,55,0,0,0,2,0,0
40055,19,0,6,1,9016,2,1,0,0,0,28,3,1,1,0,1,48,0,0,1,2,1,0
33249,47,0,16,4,9128,2,0,2,1,0,90,4,0,3,2,2,17,0,0,0,2,0,1
12148,33,1,19,4,9380,2,0,0,1,0,65,4,1,3,1,1,53,0,0,0,3,1,1
25555,31,0,14,4,8143,2,3,0,1,1,54,0,2,0,2,2,77,0,0,0,2,2,0
67005,26,1,5,2,8268,2,2,0,4,0,6,3,2,4,1,0,53,0,0,0,0,2,1
32739,51,1,28,2,7345,1,0,0,1,0,43,2,2,0,0,1,29,0,0,0,3,1,0
72993,44,1,34,4,10286,2,0,0,1,0,63,2,1,4,0,1,53,1,0,0,0,3,1
56992,30,1,20,0,4281,2,0,0,0,0,63,2,2,4,1,1,61,0,0,1,2,2,1
39770,55,1,8,1,12985,1,3,1,2,0,41,3,1,4,1,1,22,0,0,0,1,1,0
11760,33,1,16,3,5629,1,0,1,0,0,15,1,2,1,2,1,46,0,0,0,1,1,0
10728,27,1,9,1,9279,2,0,0,2,0,69,2,1,1,1,1,36,0,0,0,2,3,1
56207,49,0,41,4,8549,1,2,1,1,0,13,1,1,0,0,2,60,0,0,0,2,1,0
61041,41,1,21,1,7838,2,0,0,2,1,99,0,0,3,0,0,69,0,0,0,3,0,0
44027,27,0,2,3,5196,0,3,1,1,0,75,1,1,1,1,0,18,0,0,0,3,1,0
44324,22,0,2,2,8184,0,0,1,1,0,98,1,2,6,0,2,79,1,0,0,0,2,0
30266,22,0,8,0,4522,2,2,0,0,1,18,3,1,0,0,1,26,1,0,0,1,3,1
11070,50,1,36,0,4911,2,2,0,1,0,59,1,1,4,1,2,94,1,0,0,1,2,1
73806,20,0,8,1,8713,3,1,3,1,0,82,1,2,0,1,1,25,0,1,0,2,0,0
36084,36,0,9,2,9055,0,0,0,0,0,61,1,0,4,1,0,24,1,0,1,2,2,1
10766,34,1,10,1,8721,0,1,0,0,0,76,0,1,0,0,0,11,1,0,0,2,1,1
69113,38,1,14,3,4496,2,0,0,3,1,76,1,1,0,0,2,86,0,0,1,3,1,0
39930,20,0,6,2,5970,2,0,0,1,1,54,0,1,2,0,2,27,0,0,0,2,1,0
23154,42,0,6,2,7741,0,0,0,0,0,4,3,0,3,0,2,28,0,0,0,2,0,1
73725,48,0,40,4,9533,1,2,0,1,0,81,4,2,5,2,1,61,0,0,0,2,2,1
36925,29,0,15,0,4738,2,3,1,0,1,76,0,2,4,0,0,35,1,0,0,2,2,0
11408,32,0,6,3,5879,2,0,1,0,0,47,4,1,2,2,1,72,1,0,0,2,2,1
57096,26,1,17,3,6523,2,0,2,2,1,85,3,2,3,0,1,86,1,0,1,2,0,0
41895,48,0,15,4,6837,1,0,0,0,0,36,1,2,0,1,1,70,0,0,0,3,2,1
21808,44,1,31,3,6033,3,3,2,2,0,28,0,1,0,1,0,38,1,0,0,3,2,1
8762,59,0,45,1,8127,2,0,2,0,1,22,0,1,1,1,0,79,0,0,0,3,0,0
49173,25,0,17,2,8611,2,0,0,0,0,4,0,2,5,0,1,60,0,0,0,2,1,1
31692,43,1,27,0,3536,2,2,0,0,0,48,0,2,3,0,1,85,1,0,0,0,1,1
68269,25,0,10,3,6205,0,1,0,0,0,50,3,2,3,1,1,74,0,0,0,3,2,0
2806,55,1,33,0,4831,2,0,3,0,1,63,2,1,5,2,2,50,0,0,0,3,2,0
30591,18,0,9,3,4764,0,0,0,1,0,93,3,1,1,0,0,57,0,0,0,2,0,1
37357,59,1,30,0,5520,3,3,0,0,0,50,1,2,0,1,1,58,0,0,0,2,0,0
49333,40,0,12,2,8482,1,0,0,1,0,18,3,0,1,0,0,46,0,0,0,3,2,0
29892,22,0,1,3,6326,2,0,0,0,0,2,1,1,4,0,1,79,0,0,0,2,2,1
66517,58,0,17,0,4952,2,0,2,2,0,49,1,2,1,1,2,28,0,0,0,0,2,0
66253,39,1,13,2,8976,2,0,1,4,0,82,3,0,0,0,1,25,0,0,0,2,2,1
533,40,1,29,0,4592,3,3,0,0,1,68,3,2,2,0,1,72,0,0,0,2,1,0
17365,36,1,13,3,6389,2,0,0,1,1,87,1,1,5,1,0,64,0,0,0,2,2,1
71666,19,1,5,2,8482,3,3,2,0,0,57,2,0,5,2,1,31,0,0,0,1,1,1
73013,20,0,8,4,7412,0,0,0,1,0,19,1,2,0,2,0,81,0,0,0,2,1,1
65545,45,1,15,2,7730,3,3,2,0,0,81,3,1,2,0,1,76,1,0,0,3,2,1
14039,18,1,10,3,5842,2,2,2,0,0,84,0,1,0,2,0,21,0,0,1,2,1,1
26339,32,0,13,0,3951,3,0,0,0,0,56,4,2,2,1,1,82,0,0,0,2,1,0
45072,20,1,10,3,5784,1,2,0,0,0,1,1,2,6,2,1,68,0,0,0,0,2,1
47491,33,0,11,4,9415,1,0,2,2,1,97,1,2,2,2,0,46,0,0,0,1,2,1
69251,43,1,20,4,10994,2,2,0,2,0,7,4,2,3,0,1,24,0,0,0,1,1,1
41371,32,0,11,4,9305,1,0,1,0,1,35,1,2,3,0,0,67,0,0,0,0,1,0
28119,37,1,12,1,11806,3,0,0,2,0,50,0,1,4,0,2,76,0,0,0,2,1,1
21395,19,1,8,3,6113,2,0,0,0,0,58,4,2,0,0,0,44,0,0,0,0,0,1
45252,20,0,12,4,9242,1,3,1,1,0,71,2,1,0,0,2,73,0,0,0,0,1,0
46811,30,1,7,4,6279,2,0,0,2,1,90,0,2,2,0,1,48,0,0,0,3,2,0
33046,40,1,11,4,10512,1,3,2,0,0,74,0,1,2,2,0,66,0,0,0,2,0,1
62819,34,1,19,2,7909,1,1,0,2,1,12,1,1,3,1,2,48,0,0,1,3,1,0
37344,55,1,5,3,5788,1,2,0,0,0,63,3,0,1,2,1,13,0,0,0,3,0,1
37884,33,0,20,2,7265,1,0,2,0,0,40,1,2,2,1,2,86,0,0,0,3,1,0
68477,26,1,18,1,10661,2,2,0,4,0,36,1,2,3,0,2,45,1,0,0,3,1,1
32903,25,0,7,0,4811,2,0,0,0,0,79,0,0,2,1,2,38,0,0,1,3,0,0
14566,27,1,12,3,5329,1,0,2,2,1,20,3,1,3,1,2,35,0,0,1,2,1,0
7008,35,1,25,2,7153,0,0,2,2,0,63,1,1,2,0,2,91,0,0,0,3,1,0
40568,50,1,40,0,3043,2,0,1,0,0,24,1,1,3,1,1,102,0,0,0,3,2,1
18339,50,1,14,4,9495,2,2,0,2,1,96,0,2,0,0,1,23,1,0,0,2,2,0
53500,58,1,4,4,8151,2,0,0,0,0,15,2,1,1,1,2,8,1,0,0,2,1,1
63764,33,0,22,2,7714,1,3,0,2,0,7,1,1,2,2,0,83,0,0,1,3,0,1
4886,20,1,11,1,7628,3,2,0,3,0,17,1,2,1,0,1,84,0,0,1,2,1,1
